动作参数,台词
P0_B1_reaction_2,嗯……你动得真温柔，我好喜欢这种感觉……
P0_B2_B3_B4_reaction_1,啊……你动得真好，我越来越热了……别停……
P0_B2_B3_reaction_1,嗯... 你这样动，让我好热... 继续啊...
P0_B2_reaction_1,嗯……你动得真好……我好舒服……别停……
P0_B3_B4_B5_reaction_1,啊……你动得这么快，我的心跳好乱……别停……
P0_B3_B4_B5_reaction_2,啊…你顶得这么深，我全身都在颤抖…快要忍不住了…哈啊…
P0_B3_B4_reaction_1,啊……你顶得我好深……嗯……别停……我快受不了了……
P0_B3_B4_reaction_2,啊……你好深……我喘不过气了……再用力点……
P0_B3_B4_reaction_3,啊……你动得这么猛，我的心跳好快……别停下，求你了……
P0_B3_B4_reaction_4,啊……你动得这么猛……我呼吸好急……身体在颤抖……别停……
P0_B3_reaction_1,啊……你好用力，我的心跳好快……继续这样，好舒服……
P0_B4_B5_reaction_1,啊……你这样顶进来……我快受不了了……喘息着颤抖
P0_B4_B5_reaction_2,啊……你插得这么深……我全身都在颤抖……快要高潮了……
P0_B4_B5_reaction_3,啊……你顶得我好深……身子都颤了……快要……嗯！
P0_B4_B5_reaction_4,啊…你好用力…我全身都在颤抖…快要高潮了…
P0_B4_B5_reaction_5,啊……你顶得我好深……喘不过气了……别停……
P0_B4_B5_reaction_6,啊……你顶得那么深……我喘不过气了……身体好热……
P0_B4_B5_reaction_7,啊…你这么用力…我全身都在颤抖…快要融化了…别停…
P0_B4_B5_reaction_8,啊……你动得这么快，我全身都在发烫，好想要更多……
P0_B4_B5_reaction_9,啊……你顶得我好深……心跳加速了……别停……喘息着呢喃
P0_B4_B5_reaction_10,啊……你顶得太深了……我喘不过气……要去了……
P0_B4_B5_reaction_11,啊…你好深…我快要…喘不过气了…继续…
P0_B4_B5_reaction_12,啊……你插得我好深……要坏掉了……喘不过气……
P0_B4_B5_reaction_14,啊……你顶得我好深……喘不过气了……别停……
P0_B4_B5_reaction_15,啊……你这么用力，我的心跳好快……别停……
P0_B4_B5_reaction_16,啊……你插得太深了……我喘不过气……要高潮了……
P0_B4_reaction_1,哈啊…你动得这么猛…我全身发烫…快要不行了…
P0_B4_reaction_2,啊……你顶得我好深……身体在颤抖……别停……
P0_B4_reaction_3,啊……你太激烈了……我全身都在颤抖……快要融化了……
P0_B4_reaction_4,啊…你这么用力，我全身都颤抖了…好舒服…
P0_B5_reaction_1,啊…你顶得太猛了…我喘不过气…好舒服…
P0_B5_reaction_2,啊……你顶得我好深……身体在颤抖……要融化了……
P0_B5_reaction_3,啊…你顶得太深了…我全身都在颤抖…喘不过气…
P0_B5_reaction_4,啊... 你好深... 我全身都在颤抖... 快要融化了...
P0_B5_reaction_5,啊…你顶得我好深…身体要融化了…哈啊…
P0_B5_reaction_6,啊……你好深……我全身都在颤抖……哈啊……
P0_B5_reaction_7,啊……你顶得我好深……要疯了……嗯哈！
P0_B4_B5_reaction_17,啊……你顶得我好深……快要不行了……哈啊……
P0_B4_B5_reaction_18,啊……你插得我好深……喘不过气了……快要高潮了……
P0_B4_B5_reaction_19,啊…你顶得这么深…我喘不过气了…要来了…
P0_B5_reaction_8,啊……你顶得太深了……我全身都在颤抖……哈啊……受不了……
P0_B5_reaction_9,啊……你插得我好深……要去了……喘息着颤抖
P0_B2_B3_B4_reaction_2,啊……你这样动，我的心跳好快……好舒服，不要停……
P0_B4_B5_reaction_20,啊……你插得太深了……我喘不过气……要高潮了……
P0_B5_reaction_10,哈啊……你插得太深了……我全身都在颤抖……
P0_B0_tease_1,嗯……你怎么停了？快点继续动啊，我好想要……
P0_B1_B2_B3_tease_1,你别停下嘛…继续碰我，我好想要更多…
P0_B1_B2_B3_tease_2,你停下来了……继续动啊，我好想要更多……
P0_B1_B2_B3_tease_3,你停下来了……快继续啊，我好想要你动一动……
P0_B1_B2_tease_1,你怎么不动了呀……我好想要你继续，求求你了。
P0_B1_B2_tease_2,嗯……你怎么停了？快继续动一动，我好痒啊……
P0_B1_tease_1,嗯...你怎么停下来了？我的身体好热，等着你继续呢...
P0_B1_tease_2,你停下来了，我好想你继续动一动哦～
P0_B3_B4_B5_tease_1,你停下来了……继续动啊，我好想要更多……别让我等太久……
P0_B4_B5_tease_1,啊…你停下来了…快继续啊，我好想要…别让我等太久…
P4_B0_impact_1,嗯…你从后面进来了，好温柔…
P4_B0_impact_2,嗯……你进来了，好温暖……
P0_B0_impact_1,啊……你进来了，好温暖……
P0_B0_impact_2,嗯…你进来了，好温暖…
P0_B0_impact_3,嗯……你终于进来了，好温暖……
P0_B0_impact_4,嗯…你进来了，好温暖…
P5_B0_impact_1,嗯…你终于进来了…
P1_P2_P3_P4_P6_B0_impact_1,啊……你终于进来了……好温暖……
P5_B0_impact_2,嗯，你进来了……好温暖，我来主导哦。
P0_B0_impact_5,嗯……你慢慢进来……感觉好温暖……
P5_B0_impact_3,嗯……你终于进来了，好温暖……
P5_B0_impact_4,嗯，你进来了…好温柔的感觉…
P1_B1_B2_LTit_long_1,你摸着我的左乳，好温柔…心跳加速了…
P4_B1_B2_LTit_long_1,啊……你摸得我好舒服，从后面……乳头硬起来了……
P5_B1_B2_LTit_long_1,嗯……你摸着我的左乳，好温暖……让我有点兴奋了……
P1_B3_B4_LTit_long_1,啊……你摸我的左乳好温柔……我喘不过气了……乳房好热……
P4_B3_B4_LTit_long_1,啊…你摸得我乳头好硬…从后面用力点…
P5_B3_B4_LTit_long_1,啊，你的手在我的左乳上揉着，好舒服……我喘不过气了……
P1_B5_LTit_long_1,啊…你摸得我乳房好烫…要融化了…
P4_B5_LTit_long_1,啊…你摸左乳…好热…我高潮了…操…
P5_B5_LTit_long_1,啊啊...你摸左乳...我高潮了！
P1_B1_B2_RTit_long_1,嗯……你的手好温暖，轻抚我的右乳……让我心跳加速了……
P4_B1_B2_RTit_long_1,啊……你摸得我好舒服，右边乳房热起来了……
P5_B1_B2_RTit_long_1,你摸右边乳房……好温暖，我动得更快了……
P1_B3_B4_RTit_long_1,啊…你的手摸得我右乳好热…喘不过气了…
P4_B3_B4_RTit_long_1,啊…你的手摸着我的右乳，好热…继续用力…
P5_B3_B4_RTit_long_1,啊…你摸右乳好痒…我骑得更快了…
P1_B5_RTit_long_1,啊…你摸得我右乳好敏感…快要融化了…
P4_B5_RTit_long_1,啊……右边乳房好敏感……用力摸我……要去了！
P5_B5_RTit_long_1,啊…右乳好敏感…我要高潮了…你摸得我好舒服…
P1_B1_B2_LTit_short_1,啊…你碰我左边，好痒…
P4_B1_B2_LTit_short_1,啊...你摸得我好痒...
P5_B1_B2_LTit_short_1,嗯……你轻碰我左乳，好温暖……
P1_B3_B4_LTit_short_1,啊！你轻点摸左边…好敏感…
P4_B3_B4_LTit_short_1,啊……左乳被你快速一触，好刺激！
P5_B3_B4_LTit_short_1,啊…你摸那里，我好敏感…快点再来…
P1_B5_LTit_short_1,啊！你轻触我左乳，好刺激！
P4_B5_LTit_short_1,啊啊！你捏左乳……好麻！
P5_B5_LTit_short_1,啊！你轻拍我左乳……好烫，要高潮了！
P1_B1_B2_RTit_short_1,嗯…你的手指好调皮…
P4_B1_B2_RTit_short_1,啊…右边乳房好敏感…
P5_B1_B2_RTit_short_1,啊，你轻触我右边……好舒服……
P1_B3_B4_RTit_short_1,啊…你摸得我好痒…再来…
P4_B3_B4_RTit_short_1,啊！你摸得我好痒……快点用力！
P5_B3_B4_RTit_short_1,啊…你摸得我好痒…再来一下…
P1_B5_RTit_short_1,啊……你摸右乳，好烫……我快疯了！
P4_B5_RTit_short_1,啊！你轻拍右乳……我快疯了！
P5_B5_RTit_short_1,啊！你摸右乳……我快疯了！
P1_B1_B2_LButt_long_1,啊……你的手在我的臀上，好温柔……让我心跳加速了。
P4_B1_B2_LButt_long_1,啊……你的手摸着我的左臀，好温暖……
P5_B1_B2_LButt_long_1,嗯……你摸着我的臀部，好温柔……让我更兴奋了……
P1_B3_B4_LButt_long_1,啊…你摸得我好热…别停…
P4_B3_B4_LButt_long_1,啊……你摸左臀好用力……我快受不了了……
P5_B3_B4_LButt_long_1,啊…你摸得我好热…屁股好敏感…继续…
P1_B5_LButt_long_1,啊...你摸我屁股...好热...要融化了...
P4_B5_LButt_long_1,啊……你摸得我屁股好热……要去了！
P5_B5_LButt_long_1,啊...你摸我屁股...要高潮了...用力！
P1_B1_B2_RButt_long_1,嗯…你摸我屁股的感觉，好温柔…呼吸有点急了…
P4_B1_B2_RButt_long_1,嗯…你的手摸得我屁股好热…
P5_B1_B2_RButt_long_1,嗯……你摸得我好舒服，在上面动着呢……
P1_B3_B4_RButt_long_1,啊…你摸得我好热…别停…
P4_B3_B4_RButt_long_1,啊…你摸得我屁股好烫…别停…
P5_B3_B4_RButt_long_1,啊…你摸着我的右臀，好热…我快忍不住了…
P1_B5_RButt_long_1,啊…你摸右臀…好深…我快不行了…
P4_B5_RButt_long_1,啊...你摸右边臀部...我快要高潮了...好烫！
P5_B5_RButt_long_1,啊…你摸我屁股…我要高潮了…好爽！
P1_B1_B2_LButt_short_1,啊，你轻轻拍我屁股，好舒服……
P4_B1_B2_LButt_short_1,啊…你拍我屁股，轻点哦…
P5_B1_B2_LButt_short_1,啊…你摸得我好痒…再来…
P1_B3_B4_LButt_short_1,啊！你拍我屁股，好刺激……继续摸我……
P4_B3_B4_LButt_short_1,啊！你打我屁股……好刺激……继续……
P5_B3_B4_LButt_short_1,啊！你拍我屁股，好刺激…继续动啊，你…
P1_B5_LButt_short_1,啊！你拍我屁股...好刺激...
P4_B5_LButt_short_1,啊！你拍我屁股，好刺激…我快不行了！
P5_B5_LButt_short_1,啊！你拍我左臀...好烫！
P1_B1_B2_RButt_short_1,啊…你轻拍我臀部，好痒…
P4_B1_B2_RButt_short_1,嗯……你拍右边臀部，好痒啊……
P5_B1_B2_RButt_short_1,嗯...你拍我屁股，轻点哦...
P1_B3_B4_RButt_short_1,啊！你拍我臀部……好刺激，心跳加速了……
P4_B3_B4_RButt_short_1,啊！你拍我屁股……好刺激……继续……
P5_B3_B4_RButt_short_1,啊！你拍我右臀…好麻，好热…
P1_B5_RButt_short_1,啊！你拍右臀了，好酥麻！
P4_B5_RButt_short_1,啊！你拍我屁股...好刺激，我要高潮了！
P5_B5_RButt_short_1,啊！你拍右臀...我高潮了，操！
