动作参数,台词
P5_B5_RTit_long_1,啊…你这混蛋…右边都被你揉软了…别停…继续…
P1_B1_B2_LTit_short_1,操，别他妈突然摸老娘的胸...不过还挺舒服的。
P4_B1_B2_LTit_short_1,操，突然摸我胸...你手真欠啊。
P5_B1_B2_LTit_short_1,哈…摸得这么轻是想让我主动骑上来吗？
P1_B3_B4_LTit_short_1,啊！你他妈突然捏我奶子...爽死了...继续摸别停...
P4_B3_B4_LTit_short_1,啊！你他妈突然捏我奶子...后面插得这么深还搞偷袭...
P5_B3_B4_LTit_short_1,哈啊…你他妈…捏得正好…继续啊…
P1_B5_LTit_short_1,操...轻点捏！乳头都硬得发疼了...继续干我！
P4_B5_LTit_short_1,哈啊！你他妈突然捏什么...乳头都硬了...
P5_B5_LTit_short_1,哈啊…你这混蛋…捏得我真受不了…好爽…
P1_B1_B2_RTit_short_1,哈啊…你这混蛋…右边都被你捏得发烫了…
P4_B1_B2_RTit_short_1,啊！你他妈突然拍我右边奶子干嘛...不过还挺带劲的。
P5_B1_B2_RTit_short_1,哈！手这么不老实...捏得我倒吸一口气...
P1_B3_B4_RTit_short_1,操...突然捏我右奶...你他妈...嗯...别停...
P4_B3_B4_RTit_short_1,啊！你这混蛋…突然捏我右边…嗯…别以为这样就能让我服软…
P5_B3_B4_RTit_short_1,靠...骑在你身上的时候捏我右边奶子...你这混蛋...
P1_B5_RTit_short_1,操...别他妈突然捏右边...嗯啊...会受不了的...
P4_B5_RTit_short_1,啊！...你这混蛋...右边好敏感...
P5_B5_RTit_short_1,操...右边乳头好敏感...再用点力掐...
P1_B1_B2_LButt_long_1,嗯...你的手一直摸我左臀...别以为我没发现你在偷偷用力...
P4_B1_B2_LButt_long_1,操...你他妈摸我屁股摸这么久...嗯...别停...
P5_B1_B2_LButt_long_1,别光摸啊...用点力揉...你这混蛋不知道我想要什么吗？
P1_B3_B4_LButt_long_1,哈啊...你这混蛋...左边屁股摸得这么用力...嗯...想要我发疯是不是...
P4_B3_B4_LButt_long_1,操...别光摸...从后面干进来啊...你他妈等什么呢...
P5_B3_B4_LButt_long_1,妈的...你捏得这么用力...屁股都要被你揉肿了...嗯...
P1_B5_LButt_long_1,妈的...别一直揉我左边屁股...会湿透的...嗯...
P4_B5_LButt_long_1,啊…你这混蛋…捏得这么用力…后面都要被你玩坏了…嗯…
P5_B5_LButt_long_1,妈的...别光捏...用力揉啊...你摸得老娘屁股都湿透了...
P1_B1_B2_RButt_long_1,别磨磨蹭蹭地摸我屁股…要捏就用力点，你这个色鬼
P4_B1_B2_RButt_long_1,你他妈手放哪儿呢...嗯...右边屁股摸起来很舒服是吧...
P5_B1_B2_RButt_long_1,嗯…你的手真会挑地方…右边屁股可是老娘的敏感带…
P1_B3_B4_RButt_long_1,你的手一直摸我右臀...是想让我更湿吗？真受不了...
P4_B3_B4_RButt_long_1,妈的...别光摸...从后面干我啊...你手这么烫...
P5_B3_B4_RButt_long_1,妈的...别一直揉我屁股...会让我更想要你的...
P1_B5_RButt_long_1,啊...你的手...捏得我屁股好舒服...别停...继续...
P4_B5_RButt_long_1,啊...你这混蛋...别那么用力捏我屁股...会湿透的...
P5_B5_RButt_long_1,嗯啊...别老捏那边...会被你搞到站不稳的...
P1_B1_B2_LButt_short_1,啧...突然拍我屁股？...这么想要啊？
P4_B1_B2_LButt_short_1,啊！你他妈敢拍我屁股...不过还挺带劲的...
P5_B1_B2_LButt_short_1,哈！你这混蛋…突然拍我屁股…是想让我更兴奋吗？
P1_B3_B4_LButt_short_1,操...突然拍我屁股？你他妈...啊...别停...
P4_B3_B4_LButt_short_1,哈啊...你个混蛋！打这么用力...但感觉真带劲...
P5_B3_B4_LButt_short_1,啊！你他妈突然拍我屁股...嗯...继续干我...
P1_B5_LButt_short_1,啊！你他妈敢打我屁股...等会轮到你求饶！
P4_B5_LButt_short_1,啊！你这混蛋...突然拍我屁股...但感觉不错...
P5_B5_LButt_short_1,操...突然拍我屁股...你他妈真是欠干...
P1_B1_B2_RButt_short_1,啊～！你这混蛋…突然拍我屁股…不过…还挺带劲的…
P4_B1_B2_RButt_short_1,啊！欠揍啊？敢拍我屁股...
P5_B1_B2_RButt_short_1,哈啊…突然拍我屁股？…欠操是吧…
P1_B3_B4_RButt_short_1,草...突然拍我屁股？...你他妈...嗯...还挺会挑时候...
P4_B3_B4_RButt_short_1,操...突然拍我屁股...你他妈是想让我更湿吗？
P5_B3_B4_RButt_short_1,啊...该死的...别突然打那里...嗯...
P1_B5_RButt_short_1,操...突然拍我屁股...你他妈...嗯啊...好爽...
P4_B5_RButt_short_1,草...突然拍我屁股...你他妈找死啊？
P5_B5_RButt_short_1,啊！你这混蛋…拍得我屁股好疼…但好爽…
