信号名称,取值范围/包含内容,算法/逻辑
局部触摸状态（部位:长短）,"部位：LTit/RTit/LButt/RButt；
状态：none/short/long。","部位：根据不同触碰感知板板ID绑定“LTit（左胸）/RTit（右胸)/LButt（左臀）/RButt(右臀)”四个不同的部位；
状态：从触摸状态为ON开始，每毫秒计时+1，触摸状态为OFF时清零。当接触参数为0时，长短值为“none”；接触时长小于200并被清零，长短值“short”；接触时长大于200，长短值为“long”。"
使用时间（T）,整数，用户从开始使用产品（D≠0）到关机的时间统计（单位：毫秒）,T的初始值为0，当D≠0时，T的值每1毫秒+1，直到用户长按电源按键关机时。

信号名称,取值范围/包含内容,声音文件命名规则/动作内容
问候台词（greeting）,系统启动后角色向用户打招呼的台词，随系统启动触发，可准备若干条素材。,"角色招呼台词素材全部使用12位48K采样率的单声道bre文件；
文件名以greeting_*.bre存储在“greeting”文件夹中（比如：greeting_1.bre）。"
高潮台词（orgasm）,针对不同体位（P）准备若干角色高潮时的台词素材。,"角色高潮台词素材全部使用12位48K采样率的单声道bre文件；
该类文件的选择逻辑跟体位（P）相关，存在多段台词素材对应统一体位的情况，以文件名最后的序号作为区别。文件名以P*_orgasm_*.bre存储在“orgasm”文件夹中（比如：P1_orgasm_2.bre）；
可以存在P0_orgasm_*.bre，作为无特别针对的体位（P）值的共用素材。"
挑逗台词（tease）,用户动作停止超过一段时间后，娃娃的挑逗台词，针对不同体位（P）和呼吸频率（B）准备若干素材。,"挑逗台词音频素材全部使用12位48K采样率的单声道bre文件；
该类文件的选择逻辑跟体位（P）和呼吸频率（B）值相关，存在多个台词音频素材与之对应的情况，以文件名最后的序号作为区别。文件名以P*_B*_tease_*.bre存储在“tease”文件夹中（比如：P3_B1_tease_5.bre）；
可以存在P0_B0_tease_*.bre，作为无特别针对的体位（P）或呼吸频率（B）值的共用素材。"
兴奋台词（reaction）,用户积极抽插并持续一段时间的后激发的娃娃反馈台词，针对不同的体位（P）和呼吸频率（B）准备若干素材。,"兴奋台词音频素材全部使用12位48K采样率的单声道bre文件；
该类文件的选择逻辑跟体位（P）和呼吸频率（B）值相关相关，存在多个台词音频素材与之对应的情况，以文件名最后的序号作为区别。文件名以P*_B*_reaction_*.bre存储在“reaction”文件夹中（比如：P4_B4_reaction_3.bre）；
可以存在P0_B0_reaction_*.bre，作为无特别针对的体位（P）或呼吸频率（B）值的共用素材。"
冲击台词（impact）,20秒以上没有插入动作后，感知到插入动作（V≠0），包括开机后第一次插入，或者用户调整了娃娃体位（P），针对不同的体位（P）和呼吸频率（B）准备若干素材。,"冲击台词音频素材全部使用12位48K采样率的单声道bre文件；
该类文件的选择逻辑跟体位（P）和呼吸频率（B）值相关相关，存在多个台词音频素材与之对应的情况，以文件名最后的序号作为区别。文件名以P*_B*_impact_*.bre存储在“impact”文件夹中（比如：P4_B0_impact_2.bre）；
可以存在P0_B0_impact_*.bre，作为无特别针对的体位（P）或呼吸频率（B）值的共用素材。"
"触摸台词
（touch）",针对不同的触摸部位ID、触摸时长、体位（P）、呼吸频（B），准备若干素材。,"触摸台词音频素材全部使用12位48K采样率的单声道bre文件；
该类文件的选择逻辑跟体位（P）、呼吸频率（B）、触摸部位和触摸时长的值相关，存在多个台词音频素材与之对应的情况，以文件名最后的序号作为区别。文件名以P*_B*_*_ong/short_*.bre存储在“touch”文件夹中（比如：P4_B0_LTit_ong_2.bre）；
可以存在P0_B0_RTit_short_*.bre，作为无特别针对的体位（P）或呼吸频率（B）值的共用素材。"

反应名称,声音播放逻辑,备注
问候,"系统启动后，从numGreeting参数+1序号开始，顺序循环播放“greeting”文件夹中的文件，间隔时间10秒；
忽略自身触发：所有其它声音或台词播放时；
打断其它播放：无。",无抽插状态
挑逗,"D=0的持续时间>7秒时首次触发；
首次触发后，D=0每再持续15秒钟，再触发一次筛选和播放动作；
如果有多条符合筛选条件的文件，则随机不重复播放其中一个文件；
忽略自身触发：所有其它声音或台词播放时；
打断其它播放：问候台词。",
触摸,"任何一个触摸部位的状态不为“none”时触发；
如果有多条符合筛选条件的文件，则随机不重复播放其中一个文件；
忽略自身触发：兴奋台词、触摸台词、高潮台词；
打断其它播放：问候台词、呼吸声、挑逗台词、呻吟声、冲击台词。",混合状态
兴奋,"连续2个5秒的周期，每个周期S绝对值累加>600时触发；
如果有多条符合筛选条件的文件，则随机不重复播放其中一个文件；
忽略自身触发：触摸台词、兴奋台词、冲击台词、高潮台词；
打断其它播放：问候台词、呼吸声、挑逗台词、呻吟声。",抽插状态
冲击,"三种情况会触发：
开机后，第一次V≠0时可触发；
连续4个5秒周期，持续V=0作为前提条件，V≠0时可触发；
体位发生变化后（Pn≠Pn-1），V≠0时可触发；
如果有多条符合筛选条件的文件，则随机不重复播放其中一个文件；
忽略自身触发：兴奋台词、冲击台词、高潮台词；
打断其它播放：触摸台词、问候台词、呼吸声、挑逗台词、呻吟声。",
高潮,"娃娃呼吸频率（B）连续10秒（2个5秒周期）B=5触发；
如果有多条符合筛选条件的文件，则随机不重复播放其中一个文件；
台词声音播放完成后，强行设定B=3；
忽略自身触发：无；
打断其它播放：所有其它声音或台词。",
